Product_Quality,Customer_Service,Delivery_Speed,Ease_of_Use,Value_for_Money,Repeat_Purchases
7,4,8,5,7,11.4
4,8,5,7,8,11.5
8,5,8,7,10,13.8
7,3,10,9,7,12.7
3,7,3,9,6,10.6
3,7,2,4,10,10.1
1,5,1,1,3,5.7
9,8,4,7,9,15.3
10,10,4,2,10,15.6
7,3,9,6,9,13.1
8,9,7,10,4,13.6
8,8,8,7,7,15.1
10,9,10,10,5,16.6
6,1,7,9,4,9.5
2,8,8,5,4,10.8
4,9,7,9,3,11.4
9,9,10,10,8,18.5
6,6,6,6,7,12.5
7,10,8,8,10,17.2
4,9,2,10,5,11.1
5,6,2,4,1,7.2
1,4,2,3,9,7.7
9,10,10,10,6,17.2
9,10,10,10,10,19.3
6,8,6,9,10,16
5,7,4,5,6,11.1
8,6,8,9,8,16.1
10,4,7,8,4,13.1
9,2,9,3,8,13.1
6,2,10,5,5,11.2
6,7,8,10,10,17
4,3,2,2,2,6.1
9,10,7,10,7,17.2
9,9,9,10,8,18.1
4,2,8,5,4,9.2
9,4,6,8,10,16
2,6,4,2,3,7.2
9,6,3,7,7,13.5
5,7,10,9,8,16.2
4,8,2,6,4,10
8,3,9,5,10,15.4
10,3,4,10,4,12.5
7,8,9,7,10,17.2
7,2,2,4,3,8.1
4,3,4,6,5,9.3
9,3,10,10,8,16.8
10,4,4,10,10,17.3
4,7,7,3,6,11.3
7,10,9,4,6,14.9
5,2,5,10,7,12.1
